condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
0,B,False,91,15453338452008338158,0.556976,0.995850,0.841957,0.998955,0.968189,1.242263
0,B,False,92,12445374721324425945,0.871482,0.999113,0.919804,0.998658,0.653908,0.859419
0,B,False,93,12102051444333430969,0.484052,0.955918,0.820687,0.983127,0.759917,1.114924
0,B,False,94,4270178746539578890,0.789597,0.994075,0.762996,0.995696,1.129213,1.311108
0,B,False,95,415915742581952632,0.994120,0.953602,0.969051,0.981130,0.519955,0.797499
0,B,False,96,13160564818314794778,0.872422,0.994590,0.941917,0.998630,0.500353,0.667411
0,B,False,97,8297630469199321273,0.246504,0.999751,0.458809,0.995018,4.079673,4.814923
0,B,False,98,2024780049722463762,0.809039,0.999643,0.474693,0.997457,3.066577,3.349415
0,B,False,99,8272763099127616356,0.081820,0.919594,0.273277,0.964507,3.761977,4.401405
0,B,False,100,7907310815272351480,0.589859,0.975200,0.643636,0.991189,2.109449,2.666930
0,B,False,101,8919572360003037733,0.110134,0.982201,0.602165,0.996266,2.502200,3.912713
0,B,False,102,2256239934813566588,0.121245,0.993275,0.649870,0.995074,1.697952,2.465518
0,B,False,103,5941016352435333481,0.965185,0.999971,0.480803,0.998949,2.769013,3.146621
0,B,False,104,3890179285335390609,0.856158,0.988549,0.604431,0.997913,1.944213,2.207718
0,B,False,105,1143588545465723632,0.624168,0.960927,0.826204,0.974780,1.009101,1.428716
0,B,False,106,13452058666802791191,0.999995,0.999865,0.963076,0.995600,0.567677,0.762093
0,B,False,107,825539370941933605,0.060226,0.963609,0.347249,0.986001,3.940513,4.844021
0,B,False,108,4971263419176091714,0.000184,0.948559,0.588399,0.980222,1.781740,2.822707
0,B,False,109,14513301737419025520,0.360825,0.991214,0.820386,0.993740,1.188084,1.722262
0,B,False,110,12657170792695931112,0.001363,0.996926,0.408661,0.979673,2.999110,4.069809
0,B,False,111,14554728232899413977,0.986520,0.983481,0.929851,0.992079,0.506270,0.560858
0,B,False,112,3285507139685542476,0.259446,0.999348,0.594771,0.998193,2.109076,2.673546
0,B,False,113,4279155023737222899,0.168501,0.943736,0.854376,0.975525,0.806990,1.368949
0,B,False,114,16834022921450468354,0.662926,0.971531,0.780032,0.995447,1.084534,1.572536
0,B,False,115,9223606929073461462,0.999409,0.893334,0.895613,0.968391,1.196638,1.413367
0,B,False,116,4563343505542545135,0.164251,0.998790,0.713895,0.998440,2.920944,4.711605
0,B,False,117,1793793917346988005,0.796925,0.996958,0.497905,0.995964,2.503621,2.801428
0,B,False,118,13948109408276176612,0.333144,0.984132,0.281851,0.991162,4.342978,4.853092
0,B,False,119,1874348788710582351,0.614943,0.980846,0.533420,0.987774,2.139699,2.463015
0,B,False,120,18055481954459928017,0.519941,0.941770,0.386916,0.984075,5.009875,5.829106
0,B,False,121,6759364069723208998,0.830761,0.956743,0.970294,0.992775,0.410277,0.619874
0,B,False,122,2701525060871462804,0.750744,0.955799,0.947546,0.985366,0.503254,0.788178
0,B,False,123,9537889934652134712,0.984845,0.999630,0.864801,0.998922,0.820018,1.158918
0,B,False,124,1329224620767936773,0.505109,0.999556,0.894985,0.997857,0.653894,1.073778
0,B,False,125,10330575857816938123,0.634886,0.989428,0.908504,0.997151,0.705442,1.079601
0,B,False,126,7118456129573124430,0.965112,0.999442,0.956415,0.997620,0.497125,0.702249
0,B,False,127,11095297396665690069,0.786839,0.941083,0.925786,0.980961,0.595432,0.785840
0,B,False,128,498760509776609174,0.003183,0.989580,0.743834,0.990893,1.359509,2.519726
