condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
1,C,False,87,1206506119366577701,0.893674,0.980984,0.958805,0.988761,0.307464,0.409937
1,C,False,88,11642914151321440517,0.970692,0.984302,0.971843,0.991294,0.277570,0.358383
1,C,False,89,2200725611864922824,0.790723,0.986159,0.973083,0.997271,0.263461,0.421875
1,C,False,90,5645983475351932490,0.993466,0.991408,0.989558,0.993372,0.439365,0.501654
1,C,False,91,2392528882247587823,0.981408,0.984156,0.957264,0.997127,0.498796,0.545537
1,C,False,92,15483434965078772100,0.999484,0.998589,0.908880,0.999152,0.717327,0.805137
1,C,False,93,7046595559061846252,0.965100,0.999879,0.971849,0.999475,0.450823,0.591171
1,C,False,94,8604254814403170605,0.993852,0.994943,0.956685,0.994729,0.472891,0.816487
1,C,False,95,5289729503512552104,0.999931,0.997770,0.974753,0.999073,0.311100,0.386968
1,C,False,96,16743614088088865918,0.974869,0.995179,0.984389,0.995561,0.345219,0.528001
1,C,False,97,1830014350420115066,0.792142,0.980093,0.779592,0.991635,1.265462,1.534797
1,C,False,98,10240479074490114078,0.998590,0.999746,0.970984,0.999678,0.370048,0.450773
1,C,False,99,14873079815662905021,0.927717,0.996955,0.815035,0.995808,1.027695,1.206915
