trajectory,seed,B1_F,B1_FI,B1_E,GLOBAL_F,GLOBAL_FI,GLOBAL_E,LOCAL_F,LOCAL_FI,LOCAL_E,HYBRID_F,HYBRID_FI,HYBRID_E
213,3898118666361727709,0.936576600745837,0.7908686641454107,5.814409116670419,0.8809557046627715,0.7088142158322062,5.286239480747628,0.5569505017389094,0.5464341488223496,0.6523368016167121,0.8809557046627715,0.7088142158322062,5.756361836411811
214,16787809412347001050,0.8812124908740697,0.9709950590151389,1.0746235165121136,0.8261422010994106,0.9585229913861357,0.6688021720304177,0.39726182571471025,0.6930428358454835,0.4773095585808146,0.8261422010994106,0.9585229913861357,1.1305101899847998
215,1703164198904826125,0.8627474317489222,0.8592105782817601,4.416529351580652,0.7982746158787355,0.83733078453138,3.8608399660278883,0.5441913346427446,0.5293742591993934,0.7778032242793628,0.7982746158787357,0.83733078453138,4.488318273066944
216,18208911364502184985,0.9721424016368017,0.8380907705736858,4.2431519235852075,0.9997850729204177,0.8565901682793711,3.8267447386126503,0.17527669339212026,0.4414108662588825,0.9398935555162944,0.9997850729204177,0.856590168279371,4.537258744894803
217,2114007902931988215,0.8633149822582723,0.9077760993533974,2.496645285766877,0.7162407300215468,0.8701923380771606,2.0241203040054807,0.6435653828652235,0.472773183988458,0.5849731721523731,0.716240730021547,0.8701923380771606,2.5197374833372916
218,3469399693025416956,0.9771676363965222,0.9295229032058908,1.8290061805592308,0.9966569929226122,0.8956290679652368,1.4011968000097215,0.3041092536134409,0.6070497936246874,0.47082327574910116,0.9966569929226122,0.8956290679652367,1.8285821697769502
219,6348712431365725720,0.9562047180351829,0.9265211176442002,2.027033036131662,0.8845415518292652,0.8845537691959725,1.683420416147044,0.9799077622178209,0.5977810322265598,0.4333039654836547,0.8845415518292652,0.8845537691959725,2.0466330836964595
220,7531813645782453374,0.8605461638082432,0.949799836764713,1.642754731063557,0.8566485213715318,0.9288600139657689,1.194385486848856,0.17219486816304858,0.3410538931744854,0.6286703996676188,0.8566485213715318,0.9288600139657689,1.7568177276287895
221,13411209557678768998,0.9997348264351561,0.983021641033563,0.6803463947806894,0.9991673251187159,0.97926681756002,0.31840586905743146,0.7883097175936941,0.456300490170144,0.46159839214563336,0.9991673251187159,0.97926681756002,0.771192158031255
222,734929557781926150,0.9993004590773362,0.9793900076875524,0.7112470108031077,0.9976602199942098,0.9721839182916647,0.420998973493768,0.739594514491641,0.6970008413238465,0.3468545484515474,0.9976602199942098,0.9721839182916647,0.7563780371240556
223,17223292399724776547,0.699824323987836,0.8882893093325189,3.143826133976894,0.681275118664775,0.8704612609031747,2.671157149046595,0.656162709695667,0.7059621103381557,0.6708433572088539,0.681275118664775,0.8704612609031747,3.2190311565832657
224,3957924140338848513,0.7967333884213134,0.9130170151124706,2.4137685021094835,0.7046510163862727,0.8830327275018187,2.076011413857408,0.5669624940035074,0.5019080203298731,0.4274564906297344,0.7046510163862727,0.8830327275018187,2.428624129956715
225,13609557868207594781,0.9844418260575936,0.9911391722730781,0.49151207952064424,0.9618867951625064,0.9857904846536437,0.17788178484218758,0.945138527930292,0.8442705801546903,0.38578037840711904,0.9618867951625064,0.9857904846536437,0.5623580253306057
226,860185963217347583,0.9093095839230585,0.858757887548439,3.513538473134723,0.9037761888397705,0.8286505211965564,3.0685106287020782,0.9424083518589187,0.6009731335786489,0.671020549811432,0.9037761888397705,0.8286505211965564,3.6056841776136856
227,507514701787777418,0.99664095283671,0.7403747256299912,8.572697261051212,0.9914379361917701,0.6672794550837028,8.090577956283374,0.2592236213248245,0.47078890667119955,0.8007781220808694,0.9914379361917701,0.6672794550837028,8.52996576370251
228,4520835061728113981,0.9673587096634841,0.9815761915135414,0.7870409415715385,0.968312466583791,0.9772672860677443,0.40240630620546164,0.008081745671704329,0.3803409920793394,0.41534606515267997,0.968312466583791,0.9772672860677443,0.817011216364318
229,6442691000051871687,0.9998514946438839,0.9880315697315052,0.5773847862362453,0.9991500679201635,0.9782793819218569,0.2461315188470877,0.9557450413854869,0.9251522942839225,0.4170092205055751,0.9991500679201635,0.9782793819218569,0.6617673536183616
230,3737031990100160400,0.8780250188422407,0.9828937174498996,0.8499574560173254,0.8786279515058584,0.985398771293906,0.45371020851508853,0.983789771374706,0.43569096304799243,0.4847144766376259,0.8786279515058584,0.985398771293906,0.9229189894664261
