t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
118,0,0,GLOBAL,DEPLOY,1,0.9704905876406686,0.0,0.0844097691988206,0.0844097691988206
119,0,0,GLOBAL,DEPLOY,1,0.7786406520143029,0.05518876139315587,0.02556928873806097,-0.029619472655094903
120,0,0,GLOBAL,DEPLOY,1,0.8252064578985315,0.0,0.008709201433650171,0.008709201433650171
121,0,0,B1,DEPLOY,1,0.8207402043588183,0.0,0.0,0.0
122,0,0,B1,DEPLOY,1,0.8532716883116119,0.0,0.0,0.0
123,0,0,B1,DEPLOY,1,0.8142546892244243,0.009793357886832,0.009793357886832,0.0
124,0,0,B1,DEPLOY,1,0.855126334875201,0.002048505995947303,0.002048505995947303,0.0
125,0,0,B1,DEPLOY,1,0.8515403033538905,0.0049695931055895315,0.0049695931055895315,0.0
126,0,0,B1,DEPLOY,1,0.8439538368086162,0.0,0.0,0.0
127,0,0,HYBRID,DEPLOY,1,0.9172851453718015,0.0,0.08493516476369145,0.08493516476369145
128,0,0,B1,DEPLOY,1,0.8664995004558355,0.0,0.0,0.0
129,0,0,B1,DEPLOY,1,0.8581728968419954,0.0,0.0,0.0
130,0,0,GLOBAL,DEPLOY,1,0.8954352811078454,0.0,0.11213686189342187,0.11213686189342187
131,0,0,LOCAL,DEPLOY,1,0.7742762982263106,0.058002741059288154,0.020263142108559062,-0.03773959895072909
132,0,0,B1,DEPLOY,1,0.8859943900619106,0.0,0.0,0.0
133,0,0,LOCAL,DEPLOY,1,0.889396827723856,0.0,0.15416964398415112,0.15416964398415112
134,0,0,HYBRID,DEPLOY,1,0.9037544355232522,0.0,0.0588303773997334,0.0588303773997334
135,0,0,GLOBAL,DEPLOY,1,0.8389737281530463,0.045700368015707094,0.04313642406843521,-0.002563943947271885
136,0,0,HYBRID,DEPLOY,1,0.9737952611928382,0.0,0.1338082136686014,0.1338082136686014
137,0,0,B1,DEPLOY,1,0.7772490243098834,0.0,0.0,0.0
138,0,0,HYBRID,DEPLOY,1,0.954729517967876,0.0,0.09982619011513172,0.09982619011513172
139,0,0,B1,DEPLOY,1,0.8667042718427281,0.0,0.0,0.0
140,0,0,LOCAL,DEPLOY,1,0.8478872651551469,0.046913572042602714,0.09884056107224393,0.05192698902964121
141,0,0,LOCAL,DEPLOY,1,0.8214953096976374,0.07693898684162304,0.0,-0.07693898684162304
142,0,0,B1,DEPLOY,1,0.7950501118924208,0.0,0.0,0.0
143,0,0,GLOBAL,DEPLOY,1,0.8996066239002084,0.0,0.11316450321171978,0.11316450321171978
144,0,0,B1,DEPLOY,1,0.8944976558589546,0.0,0.0,0.0
145,0,0,HYBRID,DEPLOY,1,0.8173857394145456,0.0,0.00830872417450268,0.00830872417450268
146,0,0,LOCAL,DEPLOY,1,0.7612814033605573,0.046325580502770025,0.0,-0.046325580502770025
147,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13696479968560105,0.13696479968560105
148,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13936677931586328,0.13936677931586328
149,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.14131825797554798,0.14131825797554798
150,0,0,B1,DEPLOY,1,0.8178040482267686,0.0,0.0,0.0
151,0,0,GLOBAL,DEPLOY,1,0.8090887490918164,0.0,0.02311350962298009,0.02311350962298009
152,0,0,B1,DEPLOY,1,0.8412496072984886,0.0,0.0,0.0
153,0,0,HYBRID,DEPLOY,1,0.8901987949461218,0.0,0.016688159459622764,0.016688159459622764
154,0,0,B1,DEPLOY,1,0.8769637984339227,0.0,0.0,0.0
155,0,0,HYBRID,DEPLOY,1,0.9270359306860485,0.0,0.1162556325531805,0.1162556325531805
156,0,0,LOCAL,DEPLOY,1,0.7514287354359189,0.051710303944260905,0.011303995708791481,-0.040406308235469424
157,0,0,B1,DEPLOY,1,0.8267975691175706,0.0,0.0,0.0
158,0,0,LOCAL,DEPLOY,1,0.7614008885390904,0.0,0.01149024448453173,0.01149024448453173
159,0,0,HYBRID,LEARN_UCB,1,0.9915888759425101,0.0,0.09044749187844925,0.09044749187844925
160,0,0,B1,DEPLOY,1,0.7617507282427687,0.0,0.0,0.0
161,0,0,B1,LEARN_UCB,1,0.895068000393067,0.0,0.0,0.0
162,0,0,HYBRID,DEPLOY,1,0.9372563071355011,0.0,0.09458784610123538,0.09458784610123538
163,0,0,HYBRID,DEPLOY,1,0.866760719049495,0.0,0.02134302163651769,0.02134302163651769
164,0,0,B1,DEPLOY,1,0.8414450077034874,0.0,0.0,0.0
165,0,0,HYBRID,DEPLOY,1,0.9545467508411697,0.0,0.10466828575005349,0.10466828575005349
166,0,0,HYBRID,DEPLOY,1,0.9956640174564955,0.0,0.07088887628988982,0.07088887628988982
167,0,0,B1,DEPLOY,1,0.8766583803326168,0.0,0.0,0.0
168,0,0,B1,DEPLOY,1,0.8034276672692457,0.0,0.0,0.0
169,0,0,LOCAL,DEPLOY,1,0.8659478030270316,0.0,0.06501912469585813,0.06501912469585813
170,0,0,GLOBAL,DEPLOY,1,0.817657865874679,0.0,0.01921420536860252,0.01921420536860252
171,0,0,B1,DEPLOY,1,0.8301634293823744,0.0,0.0,0.0
172,0,0,HYBRID,DEPLOY,1,0.9275231502169018,0.0,0.11954919474660408,0.11954919474660408
173,0,0,B1,DEPLOY,1,0.8738128617817805,0.0,0.0,0.0
174,0,0,HYBRID,DEPLOY,1,0.95437055964191,0.0,0.12073064206571571,0.12073064206571571
175,0,0,LOCAL,DEPLOY,1,0.8861507527669131,0.0,0.08583147080407905,0.08583147080407905
176,0,0,GLOBAL,DEPLOY,1,0.8453315475145627,0.01617771008149671,0.07782553376681145,0.06164782368531474
177,0,0,LOCAL,DEPLOY,1,0.7495281720563951,0.0,0.0017454322667922462,0.0017454322667922462
178,0,0,HYBRID,DEPLOY,1,0.9329338391099556,0.0,0.09083602579914685,0.09083602579914685
179,0,0,B1,DEPLOY,1,0.8144587852160031,0.0,0.0,0.0
180,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.12921933303071176,0.12921933303071176
181,0,0,LOCAL,DEPLOY,1,0.8527996072373131,0.0,0.036147440252826235,0.036147440252826235
182,0,0,B1,DEPLOY,1,0.8326474236225411,0.0,0.0,0.0
183,0,0,LOCAL,DEPLOY,1,0.802136218271311,0.0,0.0577938658394167,0.0577938658394167
184,0,0,HYBRID,DEPLOY,1,0.9249343734561648,0.0,0.07832718871259892,0.07832718871259892
185,0,0,B1,DEPLOY,1,0.866085393068918,0.021077466928624555,0.021077466928624555,0.0
186,0,0,HYBRID,DEPLOY,1,0.9671754915313298,0.0,0.07343452223094427,0.07343452223094427
187,0,0,LOCAL,LEARN_UCB,1,0.8610427236826194,0.09584365379960158,0.09250328844540145,-0.0033403653542001255
188,0,0,B1,DEPLOY,1,0.8750785682665722,0.009054389289218867,0.009054389289218867,0.0
189,0,0,LOCAL,DEPLOY,1,0.8513886852081074,0.0,0.03106095365973427,0.03106095365973427
190,0,0,HYBRID,DEPLOY,1,0.8917846012329479,0.0,0.05701958375098071,0.05701958375098071
191,0,0,GLOBAL,DEPLOY,1,0.8097655642051225,0.028580793421958628,0.03246208115309035,0.0038812877311317218
192,0,0,HYBRID,DEPLOY,1,0.861715616808676,0.0,0.012485338370863963,0.012485338370863963
193,0,0,HYBRID,DEPLOY,1,0.7884045359343684,0.05874591634247983,0.0951850884249158,0.03643917208243597
194,0,0,LOCAL,DEPLOY,1,0.8347091817015673,0.0,0.025520616645433702,0.025520616645433702
195,0,0,LOCAL,DEPLOY,1,0.7907613582678352,0.07307857133009632,0.04286399934688412,-0.0302145719832122
196,0,0,HYBRID,DEPLOY,1,0.9389159749531893,0.0,0.09948525753984716,0.09948525753984716
197,0,0,GLOBAL,DEPLOY,1,0.8941439307085242,0.0,0.12222758991617932,0.12222758991617932
198,0,0,B1,DEPLOY,1,0.8695295659103579,0.0,0.0,0.0
199,0,0,LOCAL,LEARN_UCB,1,0.7989998941643476,0.04655149833242789,0.03830395184315172,-0.00824754648927617
200,0,0,HYBRID,DEPLOY,1,0.9715328243598687,0.0,0.10360543812321221,0.10360543812321221
201,0,0,HYBRID,DEPLOY,1,0.8345533695602235,0.0,0.02511130060304534,0.02511130060304534
202,0,0,B1,DEPLOY,1,0.8421169056950467,0.0,0.0,0.0
203,0,0,B1,DEPLOY,1,0.9099200029506772,0.0,0.0,0.0
204,0,0,B1,DEPLOY,1,0.7966837115988121,0.03145835894049254,0.03145835894049254,0.0
205,0,0,LOCAL,DEPLOY,1,0.8485974842406341,0.0,0.10639696438291946,0.10639696438291946
206,0,0,HYBRID,DEPLOY,1,0.8467043756433752,0.0,0.014267670809794408,0.014267670809794408
207,0,0,HYBRID,DEPLOY,1,0.9366090330759089,0.0,0.08672197352743782,0.08672197352743782
208,0,0,HYBRID,LEARN_UCB,1,0.9634110863947107,0.0,0.0996554913496035,0.0996554913496035
209,0,0,HYBRID,DEPLOY,1,0.8808319895367253,0.0,0.09626303529993219,0.09626303529993219
210,0,0,B1,DEPLOY,1,0.8890222709938717,0.0,0.0,0.0
211,0,0,HYBRID,DEPLOY,1,0.923975964154948,0.0,0.04913664328735379,0.04913664328735379
212,0,0,GLOBAL,DEPLOY,1,0.7940384519263671,0.0,0.01611430027298666,0.01611430027298666
213,0,0,B1,DEPLOY,1,0.780117155393754,0.03527033623508902,0.03527033623508902,0.0
214,0,0,HYBRID,DEPLOY,1,0.9237893105112281,0.0,0.07070464456218739,0.07070464456218739
215,0,0,GLOBAL,DEPLOY,1,0.7716247368574164,0.04329682078834407,0.013370760225070222,-0.02992606056327385
216,0,0,HYBRID,DEPLOY,1,0.9130490385163097,0.0,0.07392184779367805,0.07392184779367805
217,0,0,HYBRID,DEPLOY,1,0.9907562631073753,0.0,0.12680968014969407,0.12680968014969407
218,0,0,B1,DEPLOY,1,0.8289401672079441,0.0,0.0,0.0
219,0,0,B1,DEPLOY,1,0.8973740107857975,0.0,0.0,0.0
220,0,0,HYBRID,DEPLOY,1,0.9067980636662113,0.0,0.0830224834346659,0.0830224834346659
221,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13617810527165508,0.13617810527165508
222,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.12624492093995698,0.12624492093995698
223,0,0,B1,DEPLOY,1,0.8607695530050897,0.0,0.0,0.0
224,0,0,B1,DEPLOY,1,0.83430107276576,0.0,0.0,0.0
225,0,0,HYBRID,DEPLOY,1,0.8564177891777648,0.0,0.052560895624766624,0.052560895624766624
226,0,0,B1,DEPLOY,1,0.825604644051989,0.0,0.0,0.0
227,0,0,B1,DEPLOY,1,0.9313500302280356,0.0,0.0,0.0
228,0,0,B1,DEPLOY,1,0.8473074395086861,0.0,0.0,0.0
229,0,0,LOCAL,DEPLOY,1,0.8441326856115435,0.0,0.0786791085309766,0.0786791085309766
230,0,0,HYBRID,DEPLOY,1,0.9779417241691393,0.0,0.08708874121021282,0.08708874121021282
231,0,0,B1,LEARN_UCB,1,0.8821275376710422,0.0,0.0,0.0
232,0,0,HYBRID,DEPLOY,1,0.919126584131403,0.0,0.10623658360028798,0.10623658360028798
233,0,0,LOCAL,DEPLOY,1,0.8586876327239237,0.0,0.014644934059849124,0.014644934059849124
234,0,0,HYBRID,DEPLOY,1,0.9329189084450491,0.0,0.03962362393901442,0.03962362393901442
235,0,0,B1,DEPLOY,1,0.8821392455812311,0.004481647250997867,0.004481647250997867,0.0
236,0,0,HYBRID,DEPLOY,1,0.807013401607819,0.0,0.020851213393862422,0.020851213393862422
237,0,0,GLOBAL,DEPLOY,1,0.8377469927596854,0.0,0.08377728716426791,0.08377728716426791
238,0,0,GLOBAL,LEARN_UCB,1,0.8631178324355638,0.0,0.023213018482603487,0.023213018482603487
239,0,0,HYBRID,DEPLOY,1,0.878825225133828,0.06212279514235941,0.13111453014039964,0.06899173499804023
240,0,0,GLOBAL,DEPLOY,1,0.8453202030496308,0.004586636389132814,0.05934039338560049,0.05475375699646767
241,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.1441585820131508,0.1441585820131508
242,0,0,HYBRID,DEPLOY,1,0.9021170346323066,0.0,0.10015627193603682,0.10015627193603682
243,0,0,HYBRID,DEPLOY,1,0.8844857152903354,0.0008396200833218348,0.05175180911387833,0.0509121890305565
244,0,0,GLOBAL,DEPLOY,1,0.8561829973468541,0.0,0.01031760603215437,0.01031760603215437
245,0,0,B1,DEPLOY,1,0.8175776928806238,0.0,0.0,0.0
246,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.07423112470039583,0.07423112470039583
247,0,0,HYBRID,DEPLOY,1,0.9084844798428949,0.0,0.0646636949241125,0.0646636949241125
248,0,0,HYBRID,LEARN_UCB,1,0.9274370825341206,0.0,0.10334355716226329,0.10334355716226329
249,0,0,HYBRID,DEPLOY,1,0.7904566920323384,0.0,0.04244277953051934,0.04244277953051934
250,0,0,HYBRID,DEPLOY,1,0.8570748413679953,0.0,0.04923420752607677,0.04923420752607677
251,0,0,B1,DEPLOY,1,0.836454090874061,0.0,0.0,0.0
252,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.12835198467087672,0.12835198467087672
253,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.12618742826728702,0.12618742826728702
254,0,0,GLOBAL,DEPLOY,1,0.8012844566456421,0.0,0.06230104109727319,0.06230104109727319
255,0,0,B1,DEPLOY,1,0.7774540948027353,0.0,0.0,0.0
256,0,0,GLOBAL,DEPLOY,1,0.7850380805815237,0.009078249846633635,0.03248603873329703,0.023407788886663394
257,0,0,LOCAL,DEPLOY,1,0.7875500211215806,0.0,0.018524275688350356,0.018524275688350356
258,0,0,B1,DEPLOY,1,0.9151393871735466,0.0,0.0,0.0
259,0,0,HYBRID,DEPLOY,1,0.9105260353406766,0.0,0.08940166289776474,0.08940166289776474
260,0,0,B1,DEPLOY,1,0.8505067789958921,0.0,0.0,0.0
261,0,0,B1,DEPLOY,1,0.7918872545943387,0.0,0.0,0.0
262,0,0,GLOBAL,DEPLOY,1,0.8384322192917424,0.0,0.049340211914450705,0.049340211914450705
263,0,0,B1,LEARN_UCB,1,0.8466130154022017,0.020259650064634815,0.020259650064634815,0.0
264,0,0,B1,DEPLOY,1,0.840358121454979,0.00891919096348559,0.00891919096348559,0.0
265,0,0,HYBRID,LEARN_UCB,1,0.878861599744832,0.0,0.02224224718886192,0.02224224718886192
266,0,0,B1,DEPLOY,1,0.9080893710010471,0.0,0.0,0.0
267,0,0,HYBRID,DEPLOY,1,0.8237200718331282,0.0025137748740221566,0.030354100495763592,0.027840325621741435
268,0,0,HYBRID,DEPLOY,1,0.9883345090244118,0.0,0.11209974129564904,0.11209974129564904
269,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13663990280269278,0.13663990280269278
270,0,0,HYBRID,DEPLOY,1,0.9687841201441771,0.0,0.13717178174764377,0.13717178174764377
271,0,0,GLOBAL,DEPLOY,1,0.9407917114442156,0.0,0.09898740157770536,0.09898740157770536
272,0,0,HYBRID,DEPLOY,1,0.8497288054787316,0.0,0.022925958270339164,0.022925958270339164
273,0,0,HYBRID,DEPLOY,1,0.930435290313604,0.0,0.04278562214165682,0.04278562214165682
274,0,0,HYBRID,DEPLOY,1,0.9168152094202435,0.0,0.11501166220096848,0.11501166220096848
275,0,0,HYBRID,LEARN_UCB,1,1.0,0.0,0.1335594528661792,0.1335594528661792
276,0,0,HYBRID,DEPLOY,1,0.9555209539971274,0.0,0.043603490703112535,0.043603490703112535
277,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.1473741242494997,0.1473741242494997
278,0,0,B1,DEPLOY,1,0.7786745743045862,0.0,0.0,0.0
279,0,0,HYBRID,DEPLOY,1,0.9079476315781886,0.0,0.07468530361211845,0.07468530361211845
