t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
207,0,0,LOCAL,DEPLOY,1,0.8601920523563198,0.0,0.013999622352977914,0.013999622352977914
208,0,0,GLOBAL,DEPLOY,1,0.8194419675393654,0.03950529506430289,0.05994438727116136,0.020439092206858467
209,0,0,HYBRID,DEPLOY,1,0.854169645261064,0.0,0.014938976879305677,0.014938976879305677
210,0,0,B1,DEPLOY,1,0.8478181937985587,0.0,0.0,0.0
211,0,0,B1,DEPLOY,1,0.8404612696775079,0.0,0.0,0.0
212,0,0,B1,DEPLOY,1,0.8071835916626307,0.0,0.0,0.0
213,0,0,LOCAL,DEPLOY,1,0.817845514593657,0.0,0.010552798506011984,0.010552798506011984
214,0,0,HYBRID,DEPLOY,1,0.8773319894762022,0.0,0.06398411736683718,0.06398411736683718
215,0,0,HYBRID,DEPLOY,1,0.991136608363724,0.0,0.06566242501918829,0.06566242501918829
216,0,0,B1,DEPLOY,1,0.8222932329377945,0.0,0.0,0.0
217,0,0,GLOBAL,DEPLOY,1,0.771014312984356,0.0,0.04900852411683421,0.04900852411683421
218,0,0,GLOBAL,DEPLOY,1,0.8260809174590106,0.021498777998415708,0.011713754315455072,-0.009785023682960636
219,0,0,B1,DEPLOY,1,0.7849794123280172,0.0,0.0,0.0
220,0,0,LOCAL,DEPLOY,1,0.8218009162532995,0.011986390803207403,0.04257598797472195,0.03058959717151455
221,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.12305218682088093,0.12305218682088093
222,0,0,B1,DEPLOY,1,0.844834456248942,0.0,0.0,0.0
223,0,0,LOCAL,DEPLOY,1,0.8731781022788911,0.0,0.11320660279041628,0.11320660279041628
224,0,0,B1,DEPLOY,1,0.8518925627141938,0.0,0.0,0.0
225,0,0,B1,DEPLOY,1,0.8779858949255079,0.0,0.0,0.0
226,0,0,HYBRID,LEARN_UCB,1,0.9715548354966881,0.0,0.12245096514156817,0.12245096514156817
227,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.13038012293697132,0.13038012293697132
228,0,0,HYBRID,DEPLOY,1,0.9215255575913255,0.0,0.14037212657321607,0.14037212657321607
