t,policy,mode,reward,prototype_id
356,HYBRID,DEPLOY,0.869277282038936,7
357,GLOBAL,DEPLOY,0.9600886493559715,1
358,GLOBAL,DEPLOY,0.8390350513450076,1
359,HYBRID,DEPLOY,0.8525765909613237,8
360,LOCAL,DEPLOY,0.9001986104399822,2
361,HYBRID,DEPLOY,0.8731777059426312,0
362,B1,DEPLOY,0.8501406446292359,5
363,HYBRID,DEPLOY,0.8709334758124856,0
364,HYBRID,DEPLOY,0.9710739237447468,0
365,LOCAL,DEPLOY,0.7743239765280366,4
366,LOCAL,DEPLOY,0.9353104542431239,4
367,HYBRID,DEPLOY,0.8867270575415234,10
368,GLOBAL,DEPLOY,0.8238130813686723,1
369,B1,DEPLOY,0.8198823746296128,6
370,GLOBAL,DEPLOY,0.9006604740312486,1
371,B1,DEPLOY,0.8897705066045476,3
372,HYBRID,DEPLOY,0.8973884776915781,10
373,B1,DEPLOY,0.8049764610952193,6
374,HYBRID,DEPLOY,0.917128068527713,7
375,HYBRID,DEPLOY,0.8834225111064239,7
376,HYBRID,DEPLOY,0.9906334236964017,9
377,HYBRID,DEPLOY,0.8763928401025511,10
378,HYBRID,DEPLOY,0.986669297883876,10
379,HYBRID,DEPLOY,0.9602744649234699,0
380,HYBRID,DEPLOY,0.9657266113210353,7
381,GLOBAL,DEPLOY,0.9033003068750514,1
382,GLOBAL,DEPLOY,0.7715307490782839,1
383,LOCAL,DEPLOY,0.8369361271935768,4
384,HYBRID,DEPLOY,0.7980942315791253,7
385,HYBRID,DEPLOY,0.940361287261674,9
386,LOCAL,DEPLOY,0.807087598435773,4
387,HYBRID,DEPLOY,1.0,7
388,GLOBAL,DEPLOY,0.875922370265244,1
389,HYBRID,LEARN_COVERAGE,0.887260699090313,11
390,HYBRID,DEPLOY,0.8845011998330086,0
391,B1,DEPLOY,0.7630188328886456,5
392,LOCAL,DEPLOY,0.8626852845746045,2
393,LOCAL,DEPLOY,0.8412337769000506,4
394,HYBRID,DEPLOY,0.8890379249164877,10
395,HYBRID,DEPLOY,0.888708881968877,8
396,B1,DEPLOY,0.8888118495853329,3
397,HYBRID,DEPLOY,0.9342459267982618,9
398,B1,DEPLOY,0.8317805060229413,3
399,B1,DEPLOY,0.8010872092690857,6
400,B1,DEPLOY,0.7981348171942647,6
401,B1,DEPLOY,0.8641651666668527,3
402,B1,DEPLOY,0.8602778485100039,6
403,HYBRID,DEPLOY,1.0,7
404,GLOBAL,LEARN_UCB,0.7860269339839037,1
405,HYBRID,DEPLOY,0.9233711000710026,7
406,B1,DEPLOY,0.8365281773593302,5
407,HYBRID,DEPLOY,0.9048559613807307,7
408,HYBRID,DEPLOY,0.8143818036949321,8
409,HYBRID,DEPLOY,0.9180136952419647,0
410,HYBRID,LEARN_COVERAGE,1.0,11
411,B1,DEPLOY,0.9198670573356627,3
412,LOCAL,DEPLOY,0.7627834582140233,2
413,GLOBAL,DEPLOY,0.8768652725284434,1
414,HYBRID,DEPLOY,0.8672733398659983,8
415,B1,DEPLOY,0.8691090521033812,5
416,HYBRID,DEPLOY,0.920802310337144,9
417,LOCAL,DEPLOY,0.9189803011879804,2
418,HYBRID,LEARN_UCB,0.924842278874985,10
419,B1,LEARN_COVERAGE,0.8804056615620433,11
420,HYBRID,DEPLOY,0.8836017494809342,8
421,GLOBAL,LEARN_COVERAGE,0.7600495609354425,11
422,LOCAL,DEPLOY,0.8226795005855514,4
423,HYBRID,DEPLOY,0.87089575380229,7
424,LOCAL,DEPLOY,0.9643758792502543,4
425,B1,DEPLOY,0.8596734873315435,6
426,HYBRID,DEPLOY,0.9548907242528462,9
427,LOCAL,DEPLOY,0.8296553217696251,4
428,B1,DEPLOY,0.8702947694772443,5
429,LOCAL,LEARN_COVERAGE,0.7933381891500009,11
430,GLOBAL,DEPLOY,0.7678800177939112,1
431,B1,DEPLOY,0.8178762341635875,3
432,HYBRID,DEPLOY,0.8757988091084029,7
433,B1,DEPLOY,0.8961732212962872,5
434,LOCAL,DEPLOY,0.8867114558765011,2
435,HYBRID,DEPLOY,0.9114961706548537,10
436,LOCAL,DEPLOY,0.8692869321615866,2
437,LOCAL,DEPLOY,0.8012471029690994,4
438,B1,DEPLOY,0.8726445880034436,3
439,HYBRID,DEPLOY,0.9488287408365478,10
440,B1,DEPLOY,0.8824389671693338,6
441,HYBRID,DEPLOY,0.8700234420178159,7
442,HYBRID,DEPLOY,0.876408626090803,10
443,HYBRID,DEPLOY,0.971881197782313,0
444,HYBRID,LEARN_COVERAGE,0.9873362226674556,11
445,HYBRID,DEPLOY,0.9222466587246073,7
446,HYBRID,DEPLOY,0.9479568312802652,7
447,HYBRID,DEPLOY,0.9027182534245888,7
448,GLOBAL,DEPLOY,0.8305565100947305,1
449,HYBRID,DEPLOY,0.865761053130252,9
450,HYBRID,DEPLOY,0.8547811241603372,10
451,HYBRID,DEPLOY,0.9198996778298391,7
452,B1,DEPLOY,0.8797158482522041,3
453,HYBRID,DEPLOY,0.847534755762996,7
454,HYBRID,LEARN_UCB,0.8130064634985936,10
455,B1,DEPLOY,0.9489991795480054,3
456,HYBRID,DEPLOY,0.8505354667762511,7
457,B1,DEPLOY,0.8198475951617629,6
458,B1,DEPLOY,0.8111765159096567,5
459,B1,DEPLOY,0.8322233542361913,6
460,B1,DEPLOY,0.8472563797880547,6
461,B1,DEPLOY,0.7926867300618523,5
462,B1,LEARN_UCB,0.8128419994473617,6
463,B1,DEPLOY,0.8874438619354497,3
464,HYBRID,DEPLOY,0.8725334100477985,10
465,HYBRID,DEPLOY,0.9340835721361855,7
466,LOCAL,DEPLOY,0.8022739501250907,2
467,B1,DEPLOY,0.8403314608124853,5
468,HYBRID,DEPLOY,0.8789815931695131,7
469,B1,LEARN_COVERAGE,0.9201473398011205,11
470,LOCAL,DEPLOY,0.8670980338301894,2
471,HYBRID,DEPLOY,1.0,7
472,B1,DEPLOY,0.7397943635761826,5
473,GLOBAL,DEPLOY,0.8414296637123097,1
474,B1,DEPLOY,0.8516229530357617,6
475,LOCAL,DEPLOY,0.9109301986293359,2
476,HYBRID,DEPLOY,0.8855843759393895,7
477,HYBRID,DEPLOY,0.8815974946599691,8
478,LOCAL,DEPLOY,0.8745341096665435,4
479,LOCAL,DEPLOY,0.8597055112114977,4
480,B1,DEPLOY,0.8375254755971772,5
481,B1,DEPLOY,0.8121021045462385,3
482,HYBRID,DEPLOY,0.9176233371672564,7
483,B1,DEPLOY,0.784102108257297,6
484,HYBRID,DEPLOY,0.8736989406824435,0
485,HYBRID,LEARN_UCB,0.898203603779876,7
486,LOCAL,DEPLOY,0.6834695809603387,4
487,B1,DEPLOY,0.8872938597062401,6
488,HYBRID,DEPLOY,0.8905822107828507,9
489,HYBRID,DEPLOY,0.8893025396036399,7
490,HYBRID,DEPLOY,0.8993501519982757,9
491,HYBRID,DEPLOY,0.9458240561964069,0
492,B1,DEPLOY,0.7377152401099141,6
493,HYBRID,DEPLOY,0.894121157194457,7
494,GLOBAL,LEARN_COVERAGE,0.8840002986858805,11
495,LOCAL,DEPLOY,0.8747940755185474,4
496,HYBRID,DEPLOY,0.8847386010980609,9
497,LOCAL,LEARN_COVERAGE,0.8102039289186873,11
498,HYBRID,DEPLOY,0.895730813164198,9
499,HYBRID,DEPLOY,0.8296770261903942,8
500,B1,DEPLOY,0.8272888384676383,6
501,HYBRID,DEPLOY,0.8575628087270478,8
502,HYBRID,DEPLOY,0.8377980979815176,8
503,B1,DEPLOY,0.7996223651562964,5
504,LOCAL,DEPLOY,0.8955786038143246,2
