t,b1_policy,v01_policy,v02_policy,v02_mode,regret_b1,regret_v01,regret_v02,adv_v02_vs_b1,adv_v02_vs_v01
101,B1,B1,LOCAL,DEPLOY,0.05030671950157617,0.05030671950157617,0.0,0.05030671950157617,0.05030671950157617
102,B1,GLOBAL,GLOBAL,DEPLOY,0.03719411077612811,0.02009097410977745,0.02009097410977745,0.01710313666635066,0.0
103,B1,HYBRID,HYBRID,DEPLOY,0.06572295696931096,0.0,0.0,0.06572295696931096,0.0
104,B1,B1,LOCAL,DEPLOY,0.06794308774556812,0.06794308774556812,0.0,0.06794308774556812,0.06794308774556812
105,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
106,B1,B1,HYBRID,DEPLOY,0.1378333174079801,0.1378333174079801,0.0,0.1378333174079801,0.1378333174079801
107,B1,B1,LOCAL,DEPLOY,0.005395594149705474,0.005395594149705474,0.05090129233071217,-0.04550569818100669,-0.04550569818100669
108,B1,LOCAL,HYBRID,DEPLOY,0.023746635471954214,0.0,0.034642794435929436,-0.010896158963975222,-0.034642794435929436
109,B1,LOCAL,HYBRID,DEPLOY,0.056969749073153664,0.05277231321207365,0.0,0.056969749073153664,0.05277231321207365
110,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
111,B1,B1,GLOBAL,DEPLOY,0.058155911747813316,0.058155911747813316,0.10287154486844619,-0.04471563312063287,-0.04471563312063287
112,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
113,B1,GLOBAL,GLOBAL,DEPLOY,0.06977185120573048,0.036037509815293745,0.036037509815293745,0.03373434139043674,0.0
114,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
115,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
116,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
117,B1,B1,HYBRID,DEPLOY,0.14365736058056733,0.14365736058056733,0.0,0.14365736058056733,0.14365736058056733
118,B1,B1,HYBRID,DEPLOY,0.03291876818057493,0.03291876818057493,0.0,0.03291876818057493,0.03291876818057493
119,B1,B1,GLOBAL,DEPLOY,0.08814733677970965,0.08814733677970965,0.10544088331421286,-0.017293546534503212,-0.017293546534503212
120,B1,B1,LOCAL,DEPLOY,0.05386839661611742,0.05386839661611742,0.020332468404853254,0.033535928211264165,0.033535928211264165
121,B1,HYBRID,HYBRID,LEARN_UCB,0.07471815508129898,0.0,0.0,0.07471815508129898,0.0
122,B1,B1,HYBRID,DEPLOY,0.04895414086944161,0.04895414086944161,0.0,0.04895414086944161,0.04895414086944161
123,B1,B1,HYBRID,DEPLOY,0.037959298564346655,0.037959298564346655,0.0,0.037959298564346655,0.037959298564346655
124,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
125,B1,LOCAL,HYBRID,DEPLOY,0.037532660200987,0.027534680710948445,0.0,0.037532660200987,0.027534680710948445
126,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
127,B1,HYBRID,HYBRID,DEPLOY,0.10114699538192184,0.0,0.0,0.10114699538192184,0.0
128,B1,B1,HYBRID,DEPLOY,0.1294844376848001,0.1294844376848001,0.0,0.1294844376848001,0.1294844376848001
129,B1,B1,HYBRID,DEPLOY,0.04418187442754895,0.04418187442754895,0.0,0.04418187442754895,0.04418187442754895
130,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
131,B1,HYBRID,HYBRID,DEPLOY,0.029813245119940768,0.0,0.0,0.029813245119940768,0.0
132,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
133,B1,B1,LOCAL,DEPLOY,0.08208931005087983,0.08208931005087983,0.017789724954211605,0.06429958509666822,0.06429958509666822
134,B1,B1,HYBRID,LEARN_UCB,0.015472314616978289,0.015472314616978289,0.0,0.015472314616978289,0.015472314616978289
135,B1,B1,B1,DEPLOY,0.0016934409231419423,0.0016934409231419423,0.0016934409231419423,0.0,0.0
136,B1,B1,HYBRID,DEPLOY,0.061269098211337525,0.061269098211337525,0.0,0.061269098211337525,0.061269098211337525
137,B1,HYBRID,HYBRID,DEPLOY,0.07046672095044859,0.0,0.0,0.07046672095044859,0.0
138,B1,B1,LOCAL,DEPLOY,0.04886685884238684,0.04886685884238684,0.037324677952523366,0.011542180889863474,0.011542180889863474
139,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
140,B1,HYBRID,HYBRID,DEPLOY,0.04446412352863838,0.0,0.0,0.04446412352863838,0.0
141,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
142,B1,B1,HYBRID,DEPLOY,0.03717196942196277,0.03717196942196277,0.0,0.03717196942196277,0.03717196942196277
143,B1,B1,LOCAL,DEPLOY,0.08912715969783125,0.08912715969783125,0.0,0.08912715969783125,0.08912715969783125
144,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
145,B1,B1,LOCAL,DEPLOY,0.07691148415691784,0.07691148415691784,0.04278689782224232,0.03412458633467552,0.03412458633467552
146,B1,GLOBAL,GLOBAL,DEPLOY,0.027144871076366206,0.0,0.0,0.027144871076366206,0.0
147,B1,B1,LOCAL,DEPLOY,0.059495992647966234,0.059495992647966234,0.0,0.059495992647966234,0.059495992647966234
148,B1,B1,HYBRID,DEPLOY,0.0596017821003022,0.0596017821003022,0.0,0.0596017821003022,0.0596017821003022
149,B1,B1,HYBRID,DEPLOY,0.13207676356503295,0.13207676356503295,0.0,0.13207676356503295,0.13207676356503295
150,B1,B1,GLOBAL,DEPLOY,0.08054265076633305,0.08054265076633305,0.067096465134308,0.013446185632025043,0.013446185632025043
151,B1,B1,LOCAL,LEARN_UCB,0.08454257097107931,0.08454257097107931,0.0,0.08454257097107931,0.08454257097107931
152,B1,HYBRID,HYBRID,DEPLOY,0.09859565133780224,0.0,0.0,0.09859565133780224,0.0
153,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
154,B1,B1,LOCAL,DEPLOY,0.09615894999051722,0.09615894999051722,0.08354603182916864,0.012612918161348574,0.012612918161348574
155,B1,GLOBAL,GLOBAL,DEPLOY,0.10173726228745061,0.0,0.0,0.10173726228745061,0.0
156,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
157,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
158,B1,GLOBAL,GLOBAL,DEPLOY,0.12467225962931738,0.0,0.0,0.12467225962931738,0.0
159,B1,GLOBAL,GLOBAL,DEPLOY,0.0,0.006819875732145375,0.006819875732145375,-0.006819875732145375,0.0
160,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
161,B1,HYBRID,HYBRID,DEPLOY,0.07187266106390677,0.0,0.0,0.07187266106390677,0.0
162,B1,B1,B1,LEARN_UCB,0.0,0.0,0.0,0.0,0.0
163,B1,GLOBAL,GLOBAL,DEPLOY,0.11887900450657318,0.0,0.0,0.11887900450657318,0.0
164,B1,B1,LOCAL,DEPLOY,0.0758888140620998,0.0758888140620998,0.0,0.0758888140620998,0.0758888140620998
165,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
166,B1,B1,LOCAL,DEPLOY,0.08087267134175458,0.08087267134175458,0.0,0.08087267134175458,0.08087267134175458
167,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
168,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
169,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
170,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
171,B1,B1,LOCAL,DEPLOY,0.019421678378591767,0.019421678378591767,0.0,0.019421678378591767,0.019421678378591767
172,B1,B1,LOCAL,DEPLOY,0.07911562349638712,0.07911562349638712,0.08734342570887776,-0.008227802212490642,-0.008227802212490642
173,B1,GLOBAL,GLOBAL,DEPLOY,0.042467128678130295,0.04152728370090575,0.04152728370090575,0.0009398449772245465,0.0
174,B1,HYBRID,HYBRID,DEPLOY,0.04394724141890338,0.0,0.0,0.04394724141890338,0.0
175,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
176,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
177,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
178,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
179,B1,B1,HYBRID,DEPLOY,0.08043080516462253,0.08043080516462253,0.0,0.08043080516462253,0.08043080516462253
180,B1,LOCAL,HYBRID,DEPLOY,0.007505436576228819,0.06594909915419167,0.0,0.007505436576228819,0.06594909915419167
181,B1,B1,HYBRID,DEPLOY,0.14572674136493813,0.14572674136493813,0.0,0.14572674136493813,0.14572674136493813
182,B1,B1,HYBRID,DEPLOY,0.1174129757706237,0.1174129757706237,0.0,0.1174129757706237,0.1174129757706237
183,B1,HYBRID,HYBRID,DEPLOY,0.06547367991969455,0.0,0.0,0.06547367991969455,0.0
184,B1,HYBRID,HYBRID,DEPLOY,0.061817904022470116,0.0,0.0,0.061817904022470116,0.0
185,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
186,B1,B1,HYBRID,DEPLOY,0.09312461132972327,0.09312461132972327,0.0,0.09312461132972327,0.09312461132972327
187,B1,B1,HYBRID,DEPLOY,0.02620547136191609,0.02620547136191609,0.0,0.02620547136191609,0.02620547136191609
188,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
189,B1,HYBRID,HYBRID,DEPLOY,0.011338320258424739,0.0,0.0,0.011338320258424739,0.0
190,B1,B1,LOCAL,DEPLOY,0.08220308952895217,0.08220308952895217,0.03050048386207571,0.051702605666876456,0.051702605666876456
191,B1,B1,B1,DEPLOY,0.0,0.0,0.0,0.0,0.0
192,B1,B1,HYBRID,DEPLOY,0.0787626388820033,0.0787626388820033,0.0,0.0787626388820033,0.0787626388820033
193,B1,LOCAL,HYBRID,DEPLOY,0.10802951411490358,0.12001706366021303,0.0,0.10802951411490358,0.12001706366021303
194,B1,GLOBAL,GLOBAL,DEPLOY,0.0,0.008283061758911803,0.008283061758911803,-0.008283061758911803,0.0
